# composition,1.0KF
# source,Walz, 2019
# temperature_K,1131
# raw_file,KF_Walz_2019_1131.0_PIM.csv
# savgol,True
# grid_points,2000
r (A),F-F,K-F,K-K
3.1820186198691465,0.7631064556094562,0.8533293428129739,0.5815083357023153
3.189470654107716,0.7802830429531658,0.845362705220311,0.6003529088825782
3.196922688346285,0.7974596302968743,0.8373960676276485,0.6191974820628399
3.2043747225848547,0.8146538466992764,0.8294294300349856,0.6393791042030175
3.2118267568234242,0.8319756847518558,0.8214627924423228,0.6692399949648398
3.2192787910619938,0.8492975228044352,0.8134961548496599,0.699100885726662
3.226730825300563,0.8666193608570135,0.8055295172569974,0.7289617764884824
3.2341828595391324,0.883941198909593,0.7975628796643345,0.7582246924484621
3.241634893777702,0.9012630369621724,0.7895962420716717,0.7864175403939926
3.249086928016271,0.9185848750147507,0.7816296044790092,0.8146103883395213
3.2565389622548406,0.935683122017507,0.7736629668863463,0.8428032362850517
3.26399099649341,0.9523627967617915,0.7656963292936834,0.8695487972619059
3.2714430307319797,0.9690424715060758,0.7577296917010206,0.8911426652105976
3.278895064970549,0.9857221462503593,0.7497630541083581,0.912736533159288
3.2863470992091184,1.0024018209946437,0.7413901011656779,0.9343304011079797
3.293799133447688,1.019081495738928,0.7330009187889506,0.9559242690566714
3.3012511676862575,1.0357611704832124,0.7246117364122231,0.977518137005363
3.3087032019248266,1.051575736330667,0.7162225540354962,1.0175589275802908
3.316155236163396,1.066750869480278,0.7078333716587688,1.071234493551776
3.3236072704019657,1.081926002629889,0.6994441892820413,1.1162871583924634
3.3310593046405352,1.0971011357795,0.691055006905314,1.142784269654051
3.3385113388791043,1.1122762689291101,0.682665824528587,1.1692813809156373
3.345963373117674,1.127451402078721,0.6742766421518597,1.195778492177225
3.3534154073562434,1.142626535228332,0.6658874597751322,1.2222756034388127
3.3608674415948125,1.1549462333994696,0.6574982773984053,1.241006075088148
3.368319475833382,1.1665601414749651,0.6491090950216779,1.2578168331540613
3.3757715100719516,1.1781740495504605,0.6407199126449505,1.274627591219975
3.383223544310521,1.189787957625956,0.6323307302682231,1.2914383492858885
3.3906755785490903,1.201401865701451,0.6250465196632293,1.3082491073518012
3.39812761278766,1.2130157737769462,0.6205160801739217,1.3250598654177148
3.4055796470262294,1.2246296818524418,0.615985640684614,1.3418202985125416
3.413031681264799,1.2362435899279374,0.6114552011953064,1.3568730887082998
3.420483715503368,1.2464700452715758,0.6069247617059991,1.3719258789040574
3.4279357497419376,1.2565419322641893,0.6023943222166914,1.3869786690998156
3.435387783980507,1.2666138192568028,0.5978638827273838,1.402031459295574
3.4428398182190763,1.276685706249416,0.5933334432380765,1.4170842494913314
3.450291852457646,1.2867575932420294,0.5888030037487688,1.4321370396870898
3.4577438866962154,1.296829480234643,0.5842725642594612,1.4467766373334208
3.465195920934785,1.3069013672272567,0.5797421247701535,1.4602118621373426
3.472647955173354,1.3169732542198695,0.5752116852808462,1.4736470869412637
3.4800999894119236,1.3252369016847636,0.5706812457915386,1.4870823117451857
3.487552023650493,1.333496403186784,0.5661508063022309,1.5005175365491075
3.4950040578890627,1.3417559046888041,0.5616203668129234,1.5139527613530295
3.5024560921276318,1.350015406190824,0.557089927323616,1.5273879861569504
3.5099081263662013,1.3582749076928442,0.5525594878343083,1.5385914007809391
3.517360160604771,1.3665344091948646,0.5480290483450008,1.5473987647411174
3.5248121948433404,1.374793910696885,0.5434986088556931,1.5562061287012954
3.5322642290819095,1.3827875824547486,0.5389681693663857,1.565013492661473
