r (A),g(r)_weighted_K-Cl,g(r)_weighted_Li-Cl,S_i_K-Cl,S_i_Li-Cl,Average_SCL,SCL_BC
1.2332520437468737,0.0,0.00039181862247858186,1.0,1.0,2.692709838088354,0
1.2371921461230615,0.0,0.0003742856343771273,1.0,1.0,2.692709838088354,0
1.2411322484992495,0.0,0.0003567526462756546,1.0,1.0,2.692709838088354,0
1.245072350875438,0.0,0.0003392196581741818,1.0,1.0,2.692709838088354,0
1.249012453251626,0.0,0.0003216866700727091,1.0,1.0,2.692709838088354,0
1.252952555627814,0.0,0.0003041536819712546,1.0,1.0,2.692709838088354,0
1.256892658004002,0.0,0.0002866206938697818,1.0,1.0,2.692709838088354,0
1.2608327603801903,0.0,0.0002690877057683091,1.0,1.0,2.692709838088354,0
1.2647728627563783,0.0,0.00025155471766685457,1.0,1.0,2.692709838088354,0
1.2687129651325664,0.0,0.00023402172956538182,1.0,1.0,2.692709838088354,0
1.2726530675087546,0.0,0.0002164887414639091,1.0,1.0,2.692709838088354,0
1.2765931698849426,0.0,0.00019895575336245457,1.0,1.0,2.692709838088354,0
1.280533272261131,0.0,0.00018142276526098182,1.0,1.0,2.692709838088354,0
1.284473374637319,0.0,0.0001638897771595091,1.0,1.0,2.692709838088354,0
1.288413477013507,0.0,0.00014635678905805454,1.0,1.0,2.692709838088354,0
1.292353579389695,0.0,0.00012882380095658182,1.0,1.0,2.692709838088354,0
1.2962936817658832,0.0,0.0001112908128551091,1.0,1.0,2.692709838088354,0
1.3002337841420712,0.0,9.375782475365455e-05,1.0,1.0,2.692709838088354,0
1.3041738865182593,0.0,7.622483665218183e-05,1.0,1.0,2.692709838088354,0
1.3081139888944473,0.0,5.869184855070909e-05,1.0,1.0,2.692709838088354,0
1.3120540912706355,0.0,4.1158860449254546e-05,1.0,1.0,2.692709838088354,0
1.3159941936468236,0.0,2.3625872347781818e-05,1.0,1.0,2.692709838088354,0
1.3199342960230116,0.0,6.092884246324438e-06,1.0,1.0,2.692709838088354,0
1.3238743983991998,0.0,3.859735316605241e-06,1.0,1.0,2.692709838088354,0
1.327814500775388,0.0,9.77512684081998e-06,1.0,1.0,2.692709838088354,0
1.331754603151576,0.0,1.5690518365034718e-05,1.0,1.0,2.692709838088354,0
1.335694705527764,0.0,2.1605909889236364e-05,1.0,1.0,2.692709838088354,0
1.3396348079039522,0.0,2.7521301413454545e-05,1.0,1.0,2.692709838088354,0
1.3435749102801402,0.0,3.3436692937672726e-05,1.0,1.0,2.692709838088354,0
1.3475150126563284,0.0,3.935208446189091e-05,1.0,1.0,2.692709838088354,0
1.3514551150325165,0.0,4.5267475986090914e-05,1.0,1.0,2.692709838088354,0
1.3553952174087045,0.0,5.11828675103091e-05,1.0,1.0,2.692709838088354,0
1.3593353197848923,0.0,5.709825903452728e-05,1.0,1.0,2.692709838088354,0
1.3632754221610808,0.0,6.301365055874547e-05,1.0,1.0,2.692709838088354,0
1.3672155245372688,0.0,6.892904208296364e-05,1.0,1.0,2.692709838088354,0
1.3711556269134568,0.0,7.484443360718182e-05,1.0,1.0,2.692709838088354,0
1.375095729289645,0.0,8.075982513138182e-05,1.0,1.0,2.692709838088354,0
1.379035831665833,0.0,8.66752166556e-05,1.0,1.0,2.692709838088354,0
1.3829759340420211,0.0,9.259060817981817e-05,1.0,1.0,2.692709838088354,0
1.3869160364182094,0.0,9.850599970403637e-05,1.0,1.0,2.692709838088354,0
1.3908561387943974,0.0,0.00010442139122825455,1.0,1.0,2.692709838088354,0
1.3947962411705854,0.0,0.00011033678275245455,1.0,1.0,2.692709838088354,0
1.3987363435467737,0.0,0.00011625217427667272,1.0,1.0,2.692709838088354,0
1.4026764459229617,0.0,0.0001221675658008909,1.0,1.0,2.692709838088354,0
1.4066165482991495,0.0,0.0001280829573251091,1.0,1.0,2.692709838088354,0
1.4105566506753378,0.0,0.00013399834884932727,1.0,1.0,2.692709838088354,0
1.414496753051526,0.0,0.00013991374037354546,1.0,1.0,2.692709838088354,0
1.418436855427714,0.0,0.00014582913189774545,1.0,1.0,2.692709838088354,0
1.422376957803902,0.0,0.00015174452342196364,1.0,1.0,2.692709838088354,0
1.4263170601800903,0.0,0.00015765991494618182,1.0,1.0,2.692709838088354,0
1.4302571625562783,0.0,0.0001635753064704,1.0,1.0,2.692709838088354,0
1.4341972649324664,0.0,0.0001694906979946182,1.0,1.0,2.692709838088354,0
1.4381373673086546,0.0,0.0001754060895188182,1.0,1.0,2.692709838088354,0
1.4420774696848426,0.0,0.00018132148104303637,1.0,1.0,2.692709838088354,0
1.4460175720610309,0.0,0.00018723687256725456,1.0,1.0,2.692709838088354,0
1.449957674437219,0.0,0.00019315226409147274,1.0,1.0,2.692709838088354,0
1.453897776813407,0.0,0.0001990676556156909,1.0,1.0,2.692709838088354,0
1.457837879189595,0.0,0.00020498304713990908,1.0,1.0,2.692709838088354,0
1.461777981565783,0.0,0.0002108984386641091,1.0,1.0,2.692709838088354,0
1.4657180839419712,0.0,0.00021681383018832726,1.0,1.0,2.692709838088354,0
1.4696581863181593,0.0,0.00022272922171254545,1.0,1.0,2.692709838088354,0
