Na-Na,,Na-Cl,,Ca-Ca,,Ca-Cl,,Mg-Mg,,Mg-Cl,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
,,9.397950811,1.083311732,8.816026361,1.081536602,7.157409392,0.87932679,9.821969529,0.969923391,6.432380974,0.886775623
,,9.504190824,1.071963056,8.890042047,1.029368477,7.263621401,0.876587018,9.928180015,0.986551267,6.541870821,0.865277128
,,9.610430838,1.063154781,8.989756015,0.991615106,7.36983341,0.873847245,10.0343905,0.99350695,6.648140379,0.864701586
,,9.716670851,1.055362666,9.088945907,0.947569458,7.476044997,0.871867394,10.14060099,1.00351701,6.754409936,0.864126045
,,9.822910865,1.04503015,9.19449665,0.925028011,7.582253626,0.875206994,10.24681147,1.01709051,6.856332103,0.87298153
,,9.929150878,1.039778435,9.289449189,0.906347728,7.688462256,0.878546593,10.35302196,1.020991816,6.976006116,0.911384435
,,10.03539089,1.023348958,9.371154095,0.878044356,7.79466455,0.893285013,10.45923245,1.039146882,7.073218609,0.956474235
,,10.14163091,1.016573003,9.455892938,0.858112217,7.90086811,0.90574367,10.56544293,1.039484748,7.179488166,0.955898694
,,10.24787092,1.006240488,9.557991194,0.85342518,8.007071671,0.918202326,10.67165342,1.0372773,7.285757724,0.955323152
,,10.35411093,0.996416052,9.655918148,0.851275633,8.11327312,0.934460589,10.7778639,1.037615166,7.392027281,0.954747611
,,10.46035095,0.990656257,9.762187706,0.850127643,8.219470767,0.957558145,10.88407439,1.04304366,7.498296839,0.959873574
,,10.56659096,0.982356062,9.872628565,0.850493186,8.325665457,0.985975152,10.99028488,1.04949028,7.604566396,0.980678672
,,10.67283097,0.982693228,9.987240725,0.859964152,8.4318555,1.022751294,11.09426717,1.04352719,7.710835954,0.984379259
,,10.77907099,0.980998074,10.08948492,0.872402873,8.538052302,1.047368693,11.20270585,1.039475693,7.817105511,0.996632101
,,10.885311,0.980827161,10.2059904,0.88325572,8.644248682,1.072746014,11.30891633,1.03828637,7.923375069,0.991780432
,,10.99155101,0.975067366,10.29703259,0.896818861,8.750447174,1.094323727,11.41512682,1.033024545,8.029644626,0.998331771
,,11.09779103,0.981501493,10.41231895,0.91762568,8.856649467,1.109062148,11.52133731,1.02419928,8.135914184,1.040517508
,,11.20403104,0.98234674,10.5229359,0.928060383,8.962852183,1.123040647,11.62754779,1.029627774,8.242183741,1.044218095
,,11.31027105,0.981159666,10.62485807,0.952953645,9.069057011,1.133219539,11.73375828,1.023856886,8.351294731,1.062738293
,,11.41651107,0.985561473,10.72361362,0.983105798,9.175263528,1.140358745,11.83996876,1.02012225,8.454008395,1.056251351
,,11.52275108,0.987930959,10.83322588,1.010972921,9.281478494,1.132299523,11.94617925,1.025550744,8.560992414,1.073849743
,,11.6289911,0.994365087,10.94228662,1.035017177,9.387695995,1.119680772,12.05238974,1.019270793,8.667261971,1.073274202
,,11.73523111,0.997750734,11.045765,1.055237501,9.493912228,1.109341785,12.15860022,1.009936465,8.773531529,1.07269866
,,11.84147112,1.006725262,11.14714879,1.076523984,9.600125504,1.104322248,12.26481071,1.009765269,8.879801086,1.045746566
,,11.94771114,1.007062428,11.26477562,1.096339548,9.706344694,1.088663812,12.37102119,1.009594072,8.982045282,1.042824297
,,12.05395115,1.010448075,11.36416877,1.097691175,9.812567686,1.066166082,12.47723168,1.011968189,9.092340201,1.042464518
,,12.16019116,1.013833722,11.47501453,1.097202768,9.918783074,1.057346939,12.58344217,1.011796993,9.198609759,1.039038225
,,12.26643118,1.020775929,11.58174413,1.09540295,10.02500269,1.040928581,12.68965265,1.00704423,9.304879316,1.029910428
,,12.37267119,1.024161576,11.68755364,1.097689471,10.1312185,1.031349515,12.79586314,1.011454599,9.411148874,1.017931879
,,12.4789112,1.020434101,11.78529891,1.09472092,10.23743853,1.014171236,12.90207362,1.011283402,9.517418431,1.011654835
,,12.58515122,1.019755108,11.90619436,1.081173175,10.34365012,1.012191385,13.00828411,1.014166582,9.623687989,1.022482301
,,12.69139123,1.019584194,12.01188281,1.077353994,10.44986889,0.99729287,13.1144946,1.020613203,9.729957546,0.994824617
,,12.79763124,1.0214456,12.11493208,1.041961772,10.55608005,0.99607294,13.22070508,1.014333252,9.836227104,0.988547572
,,12.90387126,1.022290847,12.21890143,1.031464947,10.66229755,0.98345419,13.32691557,1.013652992,9.946522023,0.967992127
,,13.01011127,1.018055292,12.31615418,1.031947615,10.76851083,0.978434653,13.43312605,1.016536172,10.04957129,0.991900141
,,13.11635128,1.016360138,12.43144055,0.997282023,10.87472157,0.977974645,13.53933654,1.01891029,10.15503578,0.986820949
,,13.2225913,1.016189224,12.54307725,0.999613293,10.98093653,0.969915423,13.64554703,1.022811596,10.26130533,0.986245407
,,13.32883131,1.01347791,12.63729137,1.003013758,11.08714305,0.977054629,13.75175751,1.018058833,10.36757489,0.985669866
,,13.43507133,1.013306996,12.75706866,1.002104443,11.19335717,0.970515249,13.857968,1.026032642,10.47384445,0.985094325
,,13.54131134,1.010595682,12.85651878,1.005341192,11.29956538,0.97461477,13.96417848,1.020770817,10.58011401,0.984518784
,,13.64755135,1.005852047,12.96947663,0.988883546,11.40577021,0.984793662,14.07038897,1.02416306,10.68638356,0.983943243
,,13.75379137,1.004156893,13.06905789,0.947623412,11.51197504,0.994972554,14.17659946,1.026537177,10.79265312,0.983367702
,,13.86003138,1.000429419,13.17532745,0.950776988,11.61817986,1.005151446,14.28280994,1.025347855,10.89892268,0.982792161
,,13.96627139,0.998226185,13.27549541,0.965432772,11.72438892,1.007731124,14.38902043,1.024158532,11.00519224,0.98221662
,,14.07251141,0.99551487,13.38786656,0.984921065,11.83059501,1.015630251,14.49523091,1.021951084,11.11146179,0.990193334
,,14.17875142,0.991279316,13.49848351,0.953601891,11.93680533,1.015930165,14.6014414,1.01872551,11.21773135,0.996744673
,,14.28499143,0.992124562,13.60040568,0.952003456,12.04300762,1.030668585,14.70765189,1.019572439,11.32400091,0.996169132
,,14.39123145,0.991953649,13.70560181,0.966265061,12.14921794,1.030968499,14.81386237,1.013801551,11.43027047,0.995593591
,,14.49747146,0.994323135,13.81294479,0.97045763,12.25542868,1.030508491,14.92352125,1.001879989,11.53654002,1.003570305
,,14.60371147,0.996184542,13.91069006,0.982940806,12.36163943,1.030048483,,,11.64280958,1.022950027
,,14.70995149,0.996013628,14.02950927,0.999408756,12.46784552,1.03794761,,,11.74907914,1.003844599
,,14.8161915,0.996858874,14.13175347,0.978146916,12.57405626,1.037487602,,,11.8553487,1.024649697
,,14.93148606,0.984797022,14.24630377,0.996545957,12.68026701,1.037027594,,,11.96957426,1.014588494
,,,,14.34429258,1.010013427,12.78647606,1.039607272,,,12.06788781,1.003899695
,,,,14.45056214,1.011142499,12.89269314,1.027748442,,,12.17415737,1.022923074
,,,,14.5568317,1.009740941,12.99890388,1.027288434,,,12.28042693,1.022347532
,,,,14.66310125,1.006314879,13.10511462,1.026828426,,,12.38669648,1.021771991
,,,,14.7618568,1.01316156,13.21132578,1.025608497,,,12.49296604,1.02119645
,,,,14.88009923,1.023692686,13.31754075,1.017549275,,,12.5992356,1.012068653
,,,,,,13.42375149,1.017089267,,,12.70550516,1.004366232
,,,,,,13.52996434,1.012829651,,,12.81177471,1.05367885
,,,,,,13.63617593,1.010849801,,,12.91804427,1.048827181
,,,,,,13.74238794,1.008110028,,,13.02431383,1.032572504
,,,,,,13.8485991,1.006890099,,,13.13058339,0.999213316
,,,,,,13.95481069,1.004910248,,,13.23685294,1.001488527
,,,,,,14.06102397,0.999890711,,,13.3431225,1.000912986
,,,,,,14.16723598,0.997150939,,,13.44939206,1.000337445
,,,,,,14.27344672,0.996690931,,,13.55566162,0.9940604
,,,,,,14.37965746,0.996230923,,,13.66193117,0.984932603
,,,,,,14.4858682,0.995770915,,,13.76820073,0.995760069
,,,,,,14.59207894,0.995310907,,,13.87447029,0.988057648
,,,,,,14.69828926,0.99561082,,,13.98073985,0.968229594
,,,,,,14.80449789,0.998950419,,,14.08032111,0.969725794
,,,,,,14.91972206,0.995563679,,,14.19327896,1.000584785
,,,,,,,,,,14.29954852,0.990031612
,,,,,,,,,,14.40581808,0.979478439
,,,,,,,,,,14.51208763,0.98175365
,,,,,,,,,,14.61835719,0.986879613
,,,,,,,,,,14.72462675,0.987729447
,,,,,,,,,,14.83089631,0.995706162
,,,,,,,,,,14.91657397,1.00238606
