Freq_rad_ps,VDOS_K,VDOS_Mg
2.782156042316342948e+00,1.305977617062567021e-02,6.115093329295940607e-03
2.871903011423321495e+00,1.651685722976246884e-02,6.568693901971107627e-03
2.961649980530300041e+00,1.763731638200688803e-02,5.669634358543620793e-03
3.051396949637279032e+00,1.892415806179001750e-02,7.010524668595428770e-03
3.141143918744257579e+00,1.587077234907947887e-02,6.933473770413359737e-03
3.230890887851237014e+00,1.462171557754742522e-02,6.297936871941095353e-03
3.320637856958215117e+00,1.653471563144763568e-02,6.577572490216095427e-03
3.410384826065194108e+00,1.605516026252280792e-02,5.705175354489579014e-03
3.500131795172173543e+00,1.625220235985796666e-02,6.351713159787401343e-03
3.589878764279151646e+00,1.899945630656758172e-02,8.239106756433597564e-03
3.679625733386131081e+00,2.027446932666597534e-02,9.148321492806850072e-03
3.769372702493109184e+00,1.921174679341512009e-02,7.081862914755179123e-03
3.859119671600088175e+00,2.090008310218638074e-02,7.271949874199103506e-03
3.948866640707066722e+00,1.882321697196679203e-02,7.586309536037818581e-03
4.038613609814046157e+00,2.103384582834497488e-02,7.829241071196245752e-03
4.128360578921024704e+00,2.391675093206619904e-02,9.417832099393752890e-03
4.218107548028003251e+00,2.268887743823664108e-02,7.590715240850471127e-03
4.307854517134982686e+00,2.146107548988733515e-02,8.836327049869995010e-03
4.397601486241961233e+00,2.215077020751611905e-02,1.028104610275334431e-02
4.487348455348939780e+00,2.390516284112905940e-02,9.154823108995829156e-03
4.577095424455918327e+00,2.428762338213200089e-02,8.326939160398063103e-03
4.666842393562897762e+00,2.274476436177849323e-02,8.937127988599651365e-03
4.756589362669876309e+00,2.172050656503580340e-02,9.450264286499119454e-03
4.846336331776854855e+00,2.356612016573160495e-02,9.551432186239704539e-03
4.936083300883834291e+00,2.416833160359422444e-02,9.424782668607150152e-03
5.025830269990812837e+00,2.731330236470002476e-02,1.079279843524435546e-02
5.115577239097791384e+00,2.603044038620083364e-02,1.126682071142657768e-02
5.205324208204770819e+00,2.674918118732195690e-02,1.105778371211067583e-02
5.295071177311749366e+00,3.433502043148278088e-02,1.010126575382703541e-02
5.384818146418727913e+00,3.281252097076984425e-02,9.988660505650162266e-03
5.474565115525706460e+00,2.976088323659931839e-02,1.118234031802396895e-02
5.564312084632685895e+00,3.171967700998249567e-02,1.013364058446482481e-02
5.654059053739663554e+00,2.754994391535965648e-02,8.594508116627321351e-03
5.743806022846642989e+00,2.863957546144590277e-02,9.349932750587239966e-03
5.833552991953622424e+00,3.171141215115416689e-02,8.876090223469950552e-03
5.923299961060600083e+00,2.954084576274632751e-02,8.096134957453237843e-03
6.013046930167579518e+00,2.655598826572529506e-02,9.989095771550089362e-03
6.102793899274558065e+00,2.901979536058737347e-02,9.692889837345858989e-03
6.192540868381537500e+00,2.889688409548826428e-02,1.076131523558711625e-02
6.282287837488515159e+00,2.954079427582079545e-02,1.163651752263981237e-02
6.372034806595494594e+00,2.755216618921833144e-02,1.114640298459027706e-02
6.461781775702474029e+00,2.776437634871571636e-02,1.099219386700187734e-02
6.551528744809452576e+00,3.033238259880360888e-02,1.203805741906066422e-02
6.641275713916430234e+00,2.977044632856375508e-02,1.036385152369227909e-02
6.731022683023409670e+00,2.930267046592143279e-02,9.731309222773683668e-03
6.820769652130388216e+00,2.681845376499225608e-02,1.034564514320629632e-02
6.910516621237367652e+00,3.044231302627329813e-02,1.109130381019054687e-02
7.000263590344347087e+00,2.974617011777600309e-02,1.028858774798600134e-02
7.090010559451324745e+00,3.289014318427178896e-02,9.334034719973039254e-03
7.179757528558303292e+00,2.886733761181701705e-02,8.976957461289122170e-03
