Freq_rad_ps,VDOS_Na,VDOS_K
3.123194524922862314e+01,2.115387629289589705e-02,1.042666183078080205e-02
3.132169221833560258e+01,1.959813625060152428e-02,1.123436453580595358e-02
3.141143918744258201e+01,1.937573217705395798e-02,1.086580107219338280e-02
3.150118615654955434e+01,1.814917100944564432e-02,1.126093869338880109e-02
3.159093312565653378e+01,1.859961750515940967e-02,1.075016475605636464e-02
3.168068009476351321e+01,1.834985230743083409e-02,1.065720901487406808e-02
3.177042706387049265e+01,2.005572452028557204e-02,1.178582713916992084e-02
3.186017403297747208e+01,2.058597816339933009e-02,1.079529918459867094e-02
3.194992100208445152e+01,1.993845814022448051e-02,1.056115642602995300e-02
3.203966797119142740e+01,1.813427043328132149e-02,1.057053785990790147e-02
3.212941494029841039e+01,1.947980117731069188e-02,1.010420379755718259e-02
3.221916190940538627e+01,2.265071214770569483e-02,1.020367641029803346e-02
3.230890887851236926e+01,2.184834823576987245e-02,1.172980291386434455e-02
3.239865584761934514e+01,1.738343885407675135e-02,9.414340931836967172e-03
3.248840281672632813e+01,1.957431818536334300e-02,9.708103355149931210e-03
3.257814978583330401e+01,2.173112798840870843e-02,1.101113194788674692e-02
3.266789675494027989e+01,2.085122446477196551e-02,1.017650997508448389e-02
3.275764372404726288e+01,2.039121523740001357e-02,8.997507423011393349e-03
3.284739069315423876e+01,1.993565059124157920e-02,9.922836622912361432e-03
3.293713766226122175e+01,2.225275018063281596e-02,1.029791864492559522e-02
3.302688463136819763e+01,2.009353352769495393e-02,9.653079377724596566e-03
3.311663160047518062e+01,1.815685427039597649e-02,8.670897436994944030e-03
3.320637856958214940e+01,1.838999577826350151e-02,9.401052293003633528e-03
3.329612553868913238e+01,2.090425929061165075e-02,9.401870722257624907e-03
3.338587250779610827e+01,2.145093220758013258e-02,7.345310944960192420e-03
3.347561947690309125e+01,2.005905012179135319e-02,7.581203052042649604e-03
3.356536644601006714e+01,1.786248349603768160e-02,8.616662945984305405e-03
3.365511341511705012e+01,1.771591211735642005e-02,8.258221023639352246e-03
3.374486038422402601e+01,1.969259332673514371e-02,8.765943036382244438e-03
3.383460735333100899e+01,1.825346550365418430e-02,8.445338763828384374e-03
3.392435432243798488e+01,1.710341950159976684e-02,7.893438500038449032e-03
3.401410129154496076e+01,1.823997056527545610e-02,7.984464939840594383e-03
3.410384826065194375e+01,1.906686999526870097e-02,7.700733467283764171e-03
3.419359522975891963e+01,2.026135658959878419e-02,8.374961872454452644e-03
3.428334219886590262e+01,1.816324076228990544e-02,7.961753773494733774e-03
3.437308916797287850e+01,1.870323513812674476e-02,8.102361400163033550e-03
3.446283613707986149e+01,1.911558281306485058e-02,7.784631444860533149e-03
